,City,Zipcode,Price,Beds,Bath,SQFT,School_rating,WalkScore,Bike_Score,TransitScore,Garage_availability,County
0,Castro Valley,94552,1699000,3,2,2334.0,5.6,0,5,23,Yes,Alameda County
1,PLEASANTON,94566,1249000,3,2,1614.0,8.0,69,78,33,Yes,Alameda County
2,Oakland,94611,1288888,5,3,3631.0,5.7,14,10,31,Yes,Alameda County
3,FREMONT,94539,2680000,4,3,2898.0,8.3,13,33,36,Yes,Alameda County
4,HAYWARD,94544,458888,1,1,730.0,5.6,70,34,61,Yes,Alameda County
5,Alameda,94501,749000,1,1,968.0,5.6,85,87,46,Yes,Alameda County
6,Oakland,94619,799900,3,2,1497.0,1.3,66,36,50,Yes,Alameda County
7,San Leandro,94577,985000,4,3,1392.0,4.3,65,83,60,Yes,Alameda County
8,Oakland,94612,760000,3,1,1368.0,5.7,98,95,77,No,Alameda County
9,Pleasanton,94566,3750000,5,5,4974.0,8.0,15,23,0,Yes,Alameda County
10,Fremont,94536,1750000,4,2,2052.0,6.7,19,25,25,Yes,Alameda County
11,Oakland,94611,995000,2,2,1148.0,4.3,97,66,51,Yes,Alameda County
12,Livermore,94551,1499000,5,3,2576.0,6.7,42,68,41,Yes,Alameda County
13,LIVERMORE,94550,1150000,4,2,1708.0,6.3,62,61,41,No,Alameda County
14,Livermore,94550,950000,3,2,1350.0,7.0,52,67,41,Yes,Alameda County
15,OAKLAND,94611,1350000,5,3,3343.0,5.7,12,11,32,Yes,Alameda County
16,Hayward,94541,1500000,4,2,2587.0,5.6,10,14,41,No,Alameda County
17,Newark,94560,1299000,4,2,1886.0,4.0,16,34,41,Yes,Alameda County
18,Emeryville,94608,460000,1,1,768.0,5.6,79,91,41,Yes,Alameda County
19,Oakland,94618,1100000,2,1,1552.0,7.0,94,78,64,No,Alameda County
20,Fremont,94536,1499888,3,2,1610.0,7.7,75,53,42,Yes,Alameda County
21,Livermore,94551,999000,3,2,1559.0,5.6,58,72,41,Yes,Alameda County
22,Dublin,94568,1715400,6,5,3300.0,7.3,13,96,41,Yes,Alameda County
23,Alameda,94502,1080000,3,2,1358.0,8.7,47,52,30,Yes,Alameda County
24,Oakland,94602,999000,1,1,747.0,4.7,16,9,31,Yes,Alameda County
25,Oakland,94606,718000,3,2,1791.0,4.0,75,52,58,Yes,Alameda County
26,Fremont,94539,1999888,4,2,1698.0,9.7,44,49,35,Yes,Alameda County
27,HAYWARD,94542,2595000,5,4,4668.0,5.6,6,11,14,Yes,Alameda County
28,Oakland,94610,1249000,3,3,2604.0,6.3,66,56,54,Yes,Alameda County
29,Fremont,94539,1940908,3,3,3024.0,5.6,15,62,51,Yes,Alameda County
30,Dublin,94568,1649000,4,3,2240.0,7.7,45,65,41,Yes,Alameda County
31,Oakland,94602,950000,5,4,3012.0,3.0,85,49,53,No,Alameda County
32,Hayward,94545,895950,3,2,1148.0,4.3,51,39,41,Yes,Alameda County
33,Oakland,94610,149500,3,2,3201.0,5.7,74,52,57,No,Alameda County
34,NEWARK,94560,1279980,4,3,2026.0,5.3,61,46,41,Yes,Alameda County
35,Hayward,94542,1200000,6,5,3636.0,5.6,34,22,41,Yes,Alameda County
36,Oakland,94611,1095000,3,2,1656.0,4.3,97,57,54,Yes,Alameda County
37,Oakland,94607,475000,1,1,732.0,5.7,99,87,88,Yes,Alameda County
38,UNION CITY,94587,1899000,5,3,2762.0,6.3,18,58,41,Yes,Alameda County
39,Alameda,94501,1348000,4,3,2510.0,5.6,68,74,58,Yes,Alameda County
40,Oakland,94602,999000,4,3,2424.0,4.7,47,23,47,Yes,Alameda County
41,Alameda,94501,1395000,4,2,3418.0,5.6,88,77,49,No,Alameda County
42,Oakland,94606,500000,3,2,1222.0,4.7,92,92,56,Yes,Alameda County
43,Piedmont,94611,1088000,2,1,1311.0,5.6,68,53,41,Yes,Alameda County
44,Livermore,94551,1125000,3,3,1817.0,5.6,7,33,41,Yes,Alameda County
45,NEWARK,94560,1142000,3,2,1136.0,5.0,82,51,41,Yes,Alameda County
46,Union City,94587,525000,2,1,945.0,6.0,46,47,41,No,Alameda County
47,BERKELEY,94703,649000,2,1,825.0,7.4,96,99,69,Yes,Alameda County
48,Livermore,94551,999800,4,2,1952.0,5.6,79,83,41,Yes,Alameda County
49,Livermore,94551,1399000,5,3,2312.0,6.7,22,62,41,Yes,Alameda County
50,Oakland,94605,999000,4,3,2098.0,2.0,47,30,46,Yes,Alameda County
51,HAYWARD,94544,1795000,3,2,2089.0174545454547,2.0,43,23,50,No,Alameda County
52,Livermore,94550,2999999,5,5,3655.0,7.3,23,48,41,Yes,Alameda County
53,Berkeley,94702,799000,3,2,1110.0,7.6,86,97,64,Yes,Alameda County
54,Oakland,94618,1398000,3,2,2136.0,7.2,14,36,17,Yes,Alameda County
55,Oakland,94610,1295000,4,2,2207.0,6.3,71,43,47,Yes,Alameda County
56,Oakland,94605,649950,3,1,1246.0,2.0,44,28,47,Yes,Alameda County
57,San Leandro,94577,549000,2,1,1108.0,4.0,43,37,27,No,Alameda County
58,Oakland,94602,1149000,4,3,2202.0,4.7,57,43,42,Yes,Alameda County
59,Oakland,94611,899000,2,2,975.0,6.0,5,21,15,No,Alameda County
60,Castro Valley,94546,1288000,4,3,2200.0,5.6,32,15,18,Yes,Alameda County
61,Oakland,94602,1295000,5,4,2287.0,5.7,40,22,29,Yes,Alameda County
62,EMERYVILLE,94608,939000,2,2,1823.0,5.6,92,95,41,Yes,Alameda County
63,Alameda,94501,789000,2,1,797.0,8.7,97,89,50,No,Alameda County
64,Dublin,94568,442000,1,1,840.0,8.8,57,60,41,Yes,Alameda County
65,Oakland,94606,1150000,3,2,5176.0,5.7,87,54,60,Yes,Alameda County
66,Oakland,94605,549000,2,1,1029.0,2.2,70,58,58,Yes,Alameda County
67,Oakland,94611,3000000,4,4,2652.0,6.0,26,18,29,No,Alameda County
68,Livermore,94551,836000,3,2,1385.0,6.0,12,43,41,Yes,Alameda County
69,San Lorenzo,94580,698000,3,1,986.0,5.7,59,53,36,No,Alameda County
70,Emeryville,94608,899000,2,1,1144.0,5.6,79,91,41,Yes,Alameda County
71,Oakland,94619,499000,3,1,983.0,3.3,86,69,51,Yes,Alameda County
72,Berkeley,94703,550000,1,1,658.0,7.4,96,99,69,No,Alameda County
73,Oakland,94610,1389000,3,2,2232.0,6.3,34,34,44,No,Alameda County
74,Hayward,94541,949000,3,2,1916.0,5.6,19,15,41,Yes,Alameda County
75,Oakland,94601,580000,3,2,1050.0,2.0,74,78,44,Yes,Alameda County
76,Oakland,94607,199000,3,2,2430.0,2.3,63,81,60,No,Alameda County
77,Oakland,94601,510000,2,1,976.0,2.0,86,66,52,Yes,Alameda County
78,Oakland,94607,680000,2,2,876.0,3.7,98,89,87,Yes,Alameda County
79,Fremont,94539,2034440,3,3,2860.0,5.6,15,62,51,Yes,Alameda County
80,Oakland,94611,1195000,3,2,2050.0,6.0,10,20,14,Yes,Alameda County
81,Hayward,94541,599000,3,2,1117.0,5.6,56,56,41,Yes,Alameda County
82,Oakland,94602,895000,4,3,1595.0,4.7,48,25,46,No,Alameda County
83,Berkeley,94705,1600000,3,3,2850.0,7.0,96,93,55,Yes,Alameda County
84,Pleasanton,94588,2168900,4,3,2960.0,8.3,34,40,26,Yes,Alameda County
85,Castro Valley,94546,839900,3,1,966.0,5.6,55,40,28,Yes,Alameda County
86,San Lorenzo,94580,698000,3,2,1550.0,5.7,36,43,26,Yes,Alameda County
87,San Lorenzo,94580,730000,3,1,1134.0,5.7,64,56,36,Yes,Alameda County
88,San Lorenzo,94580,659000,4,2,1450.0,5.7,61,54,32,Yes,Alameda County
89,Oakland,94607,470000,2,1,1140.0,5.7,100,86,89,Yes,Alameda County
90,Oakland,94605,280000,2,1,1047.0,2.0,72,71,59,Yes,Alameda County
91,Oakland,94605,1375000,3,3,2364.0,4.7,18,13,18,Yes,Alameda County
92,Livermore,94550,1399000,5,2,2068.0,6.3,29,65,41,Yes,Alameda County
93,Berkeley,94704,649000,1,1,516.0,7.0,95,95,62,Yes,Alameda County
94,Hayward,94544,900000,3,1,1221.0,5.0,46,49,33,Yes,Alameda County
95,Alameda,94501,1350000,4,3,2205.0,5.6,65,67,43,Yes,Alameda County
96,Fremont,94538,1122164,2,2,1335.0,7.8,25,63,50,Yes,Alameda County
97,Emeryville,94608,525000,1,1,644.0,5.6,72,93,41,Yes,Alameda County
98,Dublin,94568,2750000,4,4,3547.0,8.8,0,49,41,Yes,Alameda County
99,Berkeley,94702,860000,2,1,1227.0,7.6,92,92,56,Yes,Alameda County
100,Fremont,94536,799888,2,1,1016.0,6.7,29,47,27,Yes,Alameda County
101,FREMONT,94538,1399000,3,2,1120.0,7.7,63,63,32,Yes,Alameda County
102,Alameda,94501,1349000,3,2,2057.0,5.6,77,80,46,No,Alameda County
103,Fremont,94555,640000,2,2,963.0,7.7,71,60,34,No,Alameda County
104,Union City,94587,285000,2,2,1440.0,6.0,26,39,41,Yes,Alameda County
105,Oakland,94607,849000,3,2,2393.0,2.3,79,95,66,No,Alameda County
106,San Leandro,94578,1049000,3,3,2120.0,2.7,33,18,35,Yes,Alameda County
107,Pleasanton,94566,1598000,4,2,2124.0,8.7,55,76,20,Yes,Alameda County
108,FREMONT,94538,475000,1,1,693.0,6.7,41,72,58,Yes,Alameda County
109,San Leandro,94578,509000,2,2,958.0,4.0,89,56,55,Yes,Alameda County
110,Berkeley,94703,1225000,3,3,1841.0,7.0,91,95,66,No,Alameda County
111,Hayward,94541,899000,3,2,1211.0,5.6,23,18,41,Yes,Alameda County
112,Oakland,94605,725000,3,1,1326.0,2.0,67,48,55,Yes,Alameda County
113,Fremont,94555,1180000,3,3,1387.0,8.0,30,56,29,Yes,Alameda County
